*customerName,customerPhone,customerEmail,customerAddress
"Abdur Rob, Traders, Munshigonj",,,Munshigonj
Abrar Enterprise Coxs Bazar,,, Coxs Bazar
Adient Engineering,,,
"Akota Sanitary, Savar",,`,Savar
"Alam Enterprise, Keraniganj",,,Keraniganj
"Ali Electronics, Tangail",,,Tangail
"Amit Enterprise, Rangpur",,,Rangpur
"Aneek Enterprise, CTG",,,CTG
"Arafat Trading, Joypurhat",,,Joypurhat
"Asad Store, Khulna",,,Khulna
"Asma Traders, Bogra",,,Bogra
"Barkat general store, Barishal",,,Barishal
"Bhai Bhai Enterprise, B- Baria",,,B- Baria
"Bhai Bhai Traders, Belkuchi, Shirajgonj",,,"Belkuchi, Shirajgonj"
"Bhai Bhai Traders, Tangail",,,Tangail
"Biplob Mobile Plaza, Jhinaidah",,,Jhinaidah
Bismillah Traders,,,
"Bondhon Traders, Raypur, Laxmipur",,,"Raypur, Laxmipur"
Business Connection,,,
Chandni Chula Ghar,,,
Cookeries Garden,,,
"Dane Enterprise, Voirob, Kishoregonj",,,"Voirob, Kishoregonj"
Energypac,,,
"Famim Enterprise, Faridpur",,,Faridpur
Gas Ghor,,,
Hardware trade International Alubazar,,,
"Hark Gas Store, Kawla",,,Kawla
"Hasan Enterprise, Mymensingh",,,Mymensingh
"Hazi Shoriyotullah Corporation, Madaripur",,,Madaripur
"Hazi Traders, Foridgonj, Chandpur",,,"Foridgonj, Chandpur"
"HS Enterprise, Maymenshing",,,Maymenshing
"Jahangir Enterprise, Rampura",,,Rampura
"Jahidul Traders, Munshigonj",,,Munshigonj
Jamuna Spacetech Ltd.,,,
"Janata Filter & Iron Ind, Alubazar Dhaka",,,Alubazar Dhaka
K. Ahmed & Sons,,,
Kamal Enterprise- Gazipura,,,Gazipura
Kashmi Trading Corporation- Savar,,,Savar
"Khaja Garibe Newaz Steel Bitan, Gazipur",,,Gazipur
"Khandakar Traders, Potuakhali",,,Potuakhali
Latu Mia & Sons,,,
"Lucky Enterprise, Chittagong",,,Chittagong
"Lutfor Traders, Jhalokati",,,Jhalokati
"M/S Bismillah Enterprise, Chittagong",,,Chittagong
"M/S Jihan Enterprise, Chittagong",,,Chittagong
M/S Miashma Trading,,,
"M/S Mobile House, Noakhali",,,Noakhali
M/S Ratan,,,
M/S Riaz Enterprise,,,
"Ma Store, Chittagong",,,
"Macca Enterprise, Chandpur",,,Chandpur
"Madina Sanitary, Savar",,,Savar
"Madina Trading, Chittagong",,,Chittagong
"Master Poultry Feed & Medicine, Kishoregonj",,,Kishoregonj
Md. Alamin Hujur,,,
"Mohiuddin & Brothers, Chittagong",,,Chittagong
"Mojumder Traders, Comilla",,,Comilla
Mos. Rehana Begum,,,
"Mr. Faruk, Rampura",,,Rampura
"Mr. Mosharaf, Warehouse",,,
Mr. Saikot,,,
Mr. Sofiqul Islam,,,
"Munna Enterprise, Satkhira",,,Satkhira
"Nevy Enterprise, CTG",,,CTG
"New Krishi Ghor, Hospital Road, Vularhat",,,"Hospital Road, Vularhat"
"Nipun Projukti, Gopalgonj",,,Gopalgonj
"Nitu Traders, Saidpur, Nilphamari",,," Saidpur, Nilphamari"
"Nur Store, Barishal",,,Barishal
"Nurjahan Enterprise, Chittagong",,,Chittagong
"Patoary Feed, Chatkhil, Noakhali",,,"Chatkhil, Noakhali"
"Rafik Enterprise, Barisal",,,Barisal
Ratan Enterprize Manikganj,,,Manikganj
Ratul Collection-B. Baria,,,B. Baria
Roushonara Enterprise,,,
"Rustom Traders, Tangail",,,Tangail
S. Alom Enterprise,,,
S.A Enterprise,,,
"S.B Gas House, Chittagong",,,Chittagong
"Sarker Enterprise, Comilla",,,Comilla
"Shahara Enterprise, Mawna, Gazipur",,,"Mawna, Gazipur"
"Shapla Traders, Voirob, Kishoregonj",,,"Voirob, Kishoregonj"
"Shara Super Store, Rupsha, Khulna",,,"Rupsha, Khulna"
Shohel Talukder,,,
"Shohid Motors, Sylhet",,,Sylhet
"Shorif & Sons, Jhinaidah",,,Jhinaidah
"Shoyod Traders, Madaripur",,,Madaripur
"Sinan Traders, Pirojpur",,,Pirojpur
Singair Gas Center-Savar_Mr. Rasel,,,
"Sonargaon Traders, Dhaka",,,Dhaka
"Srishti Bati Ghar, Sirajganj",,,Sirajganj
Surovi Afroze,,,
Warehouse Sales,,,
